Zipcode,Deliveries,Failed,Area,x_centroid,y_centroid,Dist,Price
6880,0,0,0,5.246346,49.8540382,,
6830,0,0,0,5.0964723,49.7860603,,
6831,0,0,0,5.1078935,49.8133163,,
6832,0,0,0,5.0722785,49.8194504,,
6833,0,0,0,5.0496192,49.8479309,,
6834,0,0,0,5.1192222,49.8398705,,
6836,0,0,0,5.1355357,49.79282,,
6838,0,0,0,5.0177321,49.7951775,,
6929,0,0,0,5.0665874,50.0042534,,
6887,0,0,0,5.3095412,49.7953072,,
6860,0,0,0,5.566925,49.8098946,,
6890,0,0,0,5.2381868,49.9780502,,
6840,0,0,0,5.4335027,49.8510056,,
6850,0,0,0,5.1248107,49.8935814,,
6851,0,0,0,5.1137929,49.8656578,,
6852,0,0,0,5.1432004,49.9572029,,
6853,0,0,0,5.1612182,49.9260826,,
6856,0,0,0,5.1583018,49.8543015,,
6870,0,0,0,5.345674,50.0379257,,
6927,0,0,0,5.2255778,50.0753975,,
6920,0,0,0,5.0794683,50.0613823,,
6921,0,0,0,5.1552234,50.0664444,,
6922,0,0,0,5.1311636,50.0595322,,
6924,0,0,0,5.0851445,50.0523262,,
6800,0,0,0,5.4224629,49.9461594,,
